cust_id,customer_name,email,phone,customer_type,city,state,country,age,registration_date,loyalty_tier,preferred_destination
C0001,Customer 1,customer1@email.com,555-1000001,Registered,New York,NY,France,33,2023-04-03,Bronze,Tokyo
C0002,Customer 2,customer2@email.com,555-1000002,Registered,Singapore,NY,Singapore,45,2022-03-07,Bronze,Tokyo
C0003,Customer 3,customer3@email.com,555-1000003,Registered,London,,Singapore,56,2022-02-24,Gold,Bangkok
C0004,Customer 4,customer4@email.com,555-1000004,Registered,Singapore,DXB,UK,46,2023-07-24,Bronze,Bangkok
C0005,Customer 5,,555-1000005,Guest,Dubai,IDF,France,27,2023-03-17,Silver,Tokyo
C0006,Customer 6,customer6@email.com,555-1000006,Registered,New York,DXB,USA,40,2023-12-06,Gold,Rome
C0007,Customer 7,customer7@email.com,555-1000007,Registered,New York,DXB,Singapore,25,2024-02-15,Bronze,Rome
C0008,Customer 8,customer8@email.com,555-1000008,Registered,Singapore,IDF,Singapore,30,2022-05-23,Bronze,Bangkok
C0009,Customer 9,customer9@email.com,555-1000009,Registered,Paris,NY,UK,73,2022-07-26,Silver,Rome
C0010,Customer 10,customer10@email.com,555-1000010,Guest,Dubai,IDF,UK,46,2023-12-29,Bronze,Rome
C0011,Customer 11,customer11@email.com,555-1000011,Registered,New York,SG,UK,52,2023-05-17,Bronze,Sydney
C0012,Customer 12,customer12@email.com,555-1000012,Registered,Dubai,IDF,Singapore,32,2023-10-27,Bronze,Bangkok
C0013,Customer 13,customer13@email.com,555-1000013,Registered,New York,IDF,UAE,35,2022-05-16,Bronze,Rome
C0014,Customer 14,customer14@email.com,555-1000014,Registered,London,DXB,UAE,74,2024-07-28,Bronze,Rome
C0015,Customer 15,customer15@email.com,555-1000015,Guest,London,,Singapore,52,2023-06-23,Gold,Sydney
C0016,Customer 16,customer16@email.com,555-1000016,Registered,Singapore,DXB,France,32,2022-10-11,Gold,Sydney
C0017,Customer 17,customer17@email.com,555-1000017,Registered,New York,NY,USA,27,2022-11-24,Gold,Sydney
C0018,Customer 18,customer18@email.com,555-1000018,Registered,Singapore,NY,UAE,42,2024-08-16,Gold,Rome
C0019,Customer 19,customer19@email.com,555-1000019,Registered,Singapore,NY,USA,61,2025-01-04,Silver,Rome
C0020,Customer 20,customer20@email.com,555-1000020,Guest,New York,IDF,UAE,28,2024-07-18,Bronze,Rome
C0021,Customer 21,customer21@email.com,555-1000021,Registered,Singapore,,Singapore,24,2023-09-04,Gold,Bangkok
C0022,Customer 22,customer22@email.com,555-1000022,Registered,London,IDF,UK,52,2024-12-22,Bronze,Rome
C0023,Customer 23,customer23@email.com,555-1000023,Registered,Dubai,NY,USA,41,2023-09-22,Bronze,Tokyo
C0024,Customer 24,customer24@email.com,555-1000024,Registered,London,SG,USA,23,2024-09-22,Bronze,Bangkok
C0025,Customer 25,customer25@email.com,555-1000025,Guest,London,DXB,Singapore,28,2023-06-27,Gold,Sydney
C0026,Customer 26,customer26@email.com,555-1000026,Registered,London,SG,UK,63,2023-10-01,Silver,Rome
C0027,Customer 27,customer27@email.com,555-1000027,Registered,Dubai,SG,UAE,25,2023-05-23,Bronze,Tokyo
C0028,Customer 28,customer28@email.com,555-1000028,Registered,Paris,NY,Singapore,53,2023-04-17,Gold,Bangkok
C0029,Customer 29,customer29@email.com,555-1000029,Registered,New York,NY,USA,32,2022-05-19,Bronze,Rome
C0030,Customer 30,customer30@email.com,555-1000030,Guest,New York,SG,UK,35,2024-09-21,Bronze,Bangkok
C0031,Customer 31,customer31@email.com,555-1000031,Registered,Singapore,SG,UAE,33,2024-08-26,Silver,Bangkok
C0032,Customer 32,customer32@email.com,555-1000032,Registered,New York,NY,UAE,40,2024-05-17,Silver,Sydney
C0033,Customer 33,customer33@email.com,555-1000033,Registered,New York,NY,USA,43,2023-11-26,Bronze,Bangkok
C0034,Customer 34,customer34@email.com,555-1000034,Registered,London,,Singapore,46,2022-10-15,Silver,Bangkok
C0035,Customer 35,customer35@email.com,555-1000035,Guest,Paris,DXB,UK,73,2022-06-04,Silver,Tokyo
C0036,Customer 36,customer36@email.com,555-1000036,Registered,New York,SG,USA,23,2023-04-30,Bronze,Sydney
C0037,Customer 37,customer37@email.com,555-1000037,Registered,Dubai,DXB,UK,73,2024-04-01,Bronze,Bangkok
C0038,Customer 38,customer38@email.com,555-1000038,Registered,Dubai,NY,UAE,34,2024-07-20,Silver,Sydney
C0039,Customer 39,customer39@email.com,555-1000039,Registered,Singapore,DXB,UK,30,2023-08-31,Bronze,Tokyo
C0040,Customer 40,customer40@email.com,555-1000040,Guest,Singapore,SG,USA,65,2023-10-05,Bronze,Tokyo
